
!EXCLAMATION-POINT  EH K - S K L AH - M EY - SH AH N - P OY N T
AMPLIFIER  AE M - P L AH - F AY - ER
AMPLIFIERS  AE M - P L AH - F AY - ER Z
AMPLIFIES  AE M - P L AH - F AY Z
AMPLIGEN  AE M - P L IH - JH EH N
AMPLITUDE  AE M - P L AH - T UW D
AMPLOCORE  AE M - P L AH - K AO R
AMPOL  AE M - P AO L
AMPUTATE  AE M - P Y AH - T EY T
AMPUTATED  AE M - P Y AH - T EY - T IH D
AMPUTATION  AE M - P Y AH - T EY - SH AH N
AMPUTATIONS  AE M - P Y UW - T EY - SH AH N Z
AMPUTEES  AE M - P Y AH - T IY Z
AMR  AA - M ER
AMRE  AE - M R AH
AMREIN  AE M - R AY N
AMREP  AE M - R EH P
AMRHEIN  AE - M ER - HH AY N
AMRINE  AE - M R IY N
AMRITSAR  AE M - R IH T - S ER
AMRITSAR()  AE M - R IH T - S AA R
AMRO  AE - M R OW
AMSBAUGH  AE M - Z B AO
AMSDEN  AE M Z - D AH N
AMSLER  AE M - Z L ER
AMSOUTH  AE M - S AW TH
AMSPACHER  AE M - S P AH - K ER
AMSTERDAM  AE M - S T ER - D AE M
AMTECH  AE M - T EH K
AMTRACK  AE M - T R AE K
AMTRAK'S  AE M - T R AE K S
AMUCK  AH - M AH K
AMULET  AE - M Y AH - L AH T
AMULETS  AE - M Y AH - L AH T S
AMUNDSEN  EY - M AH N D - S AH N
AMUNDSEN()  AA - M AH N D - S AH N
AMUSE  AH - M Y UW Z
AMUSED  AH - M Y UW Z D
AMUSEMENT  AH - M Y UW Z - M AH N T
AMUSEMENTS'  AH - M Y UW Z - M AH N T S
AMUSES  AH - M Y UW - Z IH Z
AMUSING  AH - M Y UW - Z IH NG
AMUSINGLY  AH - M Y UW - Z IH NG - L IY
AMVEST  AE M - V EH S T
AMVESTOR  AE M - V EH - S T ER
AMVESTORS  AE M - V EH - S T ER Z
AMWAY  AE M - W EY
AMY'S  EY - M IY Z
AMYLIN  AE - M IH - L IH N
AMYOTROPHIC  AE - M AY - AH - T R OW - F IH K
AMYOTROPHIC()  AE - M IY - AH - T R OW - F IH K
AMYX  AE - M IH K S
AN()  AH N
ANA  AA - N AH
ANA()  AE - N AH
ANABAPTIST  AE - N AH - B AE P - T AH S T
ANABOLIC  AE - N AH - B AA - L IH K
ANAC  AE - N AE K
ANACHRONISMS  AH - N AE - K R AH - N IH - Z AH M Z
ANACIN  AE - N AH - S IH N
ANACKER  AE - N AH - K ER
ANACONDA  AE - N AH - K AA N - D AH
ANACOSTIA  AE - N AH - K AA - S T IY - AH
ANADARKO  AE - N AH - D AA R - K OW
ANADARKO'S  AE - N AH - D AA R - K OW Z
ANAEROBES  AE - N ER - OW B Z
ANAEROBIC  AE - N ER - OW - B IH K
ANAESTHESIA  AE - N AH S - TH IY - ZH AH
ANAFRANIL  AH - N AE - F R AH - N IH L
ANAGNOS  AA - N AA G - N OW Z
ANAGRAM  AE - N AH - G R AE M
ANAHEIM  AE - N AH - HH AY M
ANAL  EY - N AH L
ANALGESIC  AE - N AH L - JH IY - S IH K
ANALGESICS  AE - N AH L - JH IY - Z IH K S
ANALOG  AE - N AH - L AO G
ANALOGIC  AE - N AH - L AA - JH IH K
ANALOGIES  AH - N AE - L AH - JH IY Z
ANALOGOUS  AH - N AE - L AH - G AH S
ANALOGY  AH - N AE - L AH - JH IY
ANALYSES  AH - N AE - L AH - S IY Z
ANALYSIS  AH - N AE - L AH - S AH S
ANALYST  AE - N AH - L AH S T
ANALYST'S()  AE - N AH - L IH S S
ANALYST'S(3)  AE - N AH - L IH S
ANALYSTS  AE - N AH - L AH S T S
ANALYSTS'  AE - N AH - L IH S T S
ANALYSTS'()  AE - N AH - L IH S S
ANALYSTS'(3)  AE - N AH - L IH S
ANALYSTS()  AE - N AH - L IH S T S
ANALYSTS(4)  AE - N AH - L IH S S
ANALYSTS(5)  AE - N AH - L AH S
ANALYSTS(6)  AE - N AH - L IH S
ANALYTIC  AE - N AH - L IH - T IH K
ANALYTICAL  AE - N AH - L IH - T IH - K AH L
ANALYTICALLY  AE - N AH - L IH - T IH K - L IY
ANALYTICITY  AE - N AH - L AH - T IH - S AH - T IY
ANALYZABLE  AE - N AH - L AY - Z AH - B AH L
ANALYZE  AE - N AH - L AY Z
ANALYZED  AE - N AH - L AY Z D
ANALYZER  AE - N AH - L AY - Z ER
ANALYZERS  AE - N AH - L AY - Z ER Z
ANALYZES  AE - N AH - L AY - Z IH Z
ANALYZING  AE - N AH - L AY - Z IH NG
ANAMARIA  AE - N AH - M AH - R IY - AH
ANAND  AE - N AH N D
ANANDALE  AE - N AH N - D EY L
ANANDEEP  AA - N AA N - D IY P
ANANIA  AA - N AA - N IY - AH
ANAPHORA  AH - N AE - F ER - AH
ANARCHICAL  AE - N AA R - K AH - K AH L
ANARCHIST  AE - N ER - K AH S T
ANARCHISTS  AE - N ER - K AH S T S
ANARCHY  AE - N ER - K IY
ANAS  AE - N AH S
ANASAZI  AE - N AH - S AE - Z IY
ANASAZI()  AE - N AH - S AA - Z IY
ANASQUAN  AE - N AH S - K W AA N
ANAST  AA - N AA S T
ANASTAS  AE - N AH - S T AH Z
ANASTASIA  AE - N AH - S T EY - ZH AH
ANASTASIO  AA - N AA - S T AA - S IY - OW
ANASTASIO()  AE - N AH - S T AA - S IY - OW
ANASTOS  AE - N AH - S T OW Z
ANATHEMA  AH - N AE - TH AH - M AH
ANATOLA  AA - N AA - T OW - L AH
ANATOLI  AE - N AH - T OW - L IY
ANATOLIA  AE - N AH - T OW - L IY - AH
ANATOLIAN  AE - N AH - T OW - L IY - AH N
ANATOLY  AE - N AH - T OW - L IY
ANATOMICAL  AE - N AH - T AA - M AH - K AH L
ANATOMICALLY  AE - N AH - T AA - M AH K - L IY
ANATOMIST  AH - N AE - T AH - M AH S T
ANATOMY  AH - N AE - T AH - M IY
ANAYA  AA - N AA - Y AH
ANBARI  AE N - B AA - R IY
ANCEL  AH N - S EH L
ANCELL  AA N - S EY L
ANCESTOR  AE N - S EH - S T ER
ANCESTORS  AE N - S EH - S T ER Z
ANCESTRAL  AE N - S EH S - T R AH L
ANCESTRY  AE N - S EH S - T R IY
ANCHETA  AA N - K EH - T AH
ANCHO  AE N - CH OW
ANCHONDO  AA N - K OW N - D OW
ANCHORAGE()  AE NG - K R IH JH
ANCHORED  AE NG - K ER D
ANCHORMAN  AE NG - K ER - M AE N
ANCHORMEN  AE NG - K ER - M EH N
ANCHORS  AE NG - K ER Z
ANCHOVIES  AE N - CH OW - V IY Z
ANCHOVY  AE N - CH OW - V IY
ANCHOVY()  AE N - CH OW - V IY
ANCIENT  EY N - CH AH N T
ANCIENT()  EY N - SH AH N T
ANCIENTS  EY N - CH AH N T S
ANCIENTS()  EY N - SH AH N T S
ANCILLARY  AE N - S AH - L EH - R IY
ANCIRA  AA N - CH IH - R AH
ANCONA  AA N - K OW - N AH
ANCRUM  AH N - K R AH M
ANCTIL  AE NG K - T IH L
AND  AE N D
ANDAL  AE N - D AH L
ANDALUSIAN  AE N - D AH - L UW - SH AH N
ANDANTINO  AA N - D AA N - T IY - N OW
ANDEAN  AE N - D IY - AH N
ANDEL  AE N - D AH L
ANDERA  AE N - D ER - AH
ANDERBERG  AE N - D ER - B ER G
ANDEREGG  AE N - D ER - IH G
ANDERLINI  AE N - D ER - L IY - N IY
ANDERS  AE N - D ER Z
ANDERSEN  AE N - D ER - S AH N
ANDERSEN'S  AE N - D ER - S AH N Z
ANDERSON  AE N - D ER - S AH N
ANDERSON'S  AE N - D ER - S AH N Z
ANDERSONVILLE  AE N - D ER - S AH N - V IH L
ANDERSSON  AE N - D ER - S AH N
ANDERT  AE N - D ER T
ANDERTON  AE N - D ER - T AH N
ANDESITE  AE N - D IH - S AY T
ANDINO  AA N - D IY - N OW
ANDIS  AE N - D IH S
ANDLER  AE N D - L ER
ANDONIAN  AE N - D OW - N IY - AH N
ANDORRA  AE N - D AO - R AH
ANDOVER  AE N D - OW - V ER
ANDRADA  AA N - D R AA - D AH
ANDRAE  AA N - D R AY
ANDRE  AA N - D R EY
ANDREA  AE N - D R IY - AH
ANDREA'S  AE N - D R IY - AH Z
ANDREA'S()  AA N - D R EY - AH Z
ANDREAE  AA N - D R EY - AA
ANDREANA  AE N - D R IY - N AH
ANDREANI()  AE N - D R IY - AA - N IY
ANDREANO  AE N - D R IY - N OW
ANDREAS  AA N - D R EY - AH S
ANDREASON  AE N - D R IY - S AH N
ANDREASSEN  AE N - D R AH - S AH N
ANDREE  AH N - D R IY
ANDREEN  AH N - D R IY N
ANDREJ  AA N - D R EY
ANDREN  AE N - D ER - AH N
ANDREOLI  AA N - D R EY - OW - L IY
ANDREONI  AA N - D R EY - OW - N IY
ANDREOTTI  AA N - D R IY - AA - T IY
ANDREOTTI()  AE N - D R IY - AA - D IY
ANDREOZZI  AA N - D R IY - AA T - S IY
ANDREPONT  AA N - D R EY - P OW N T
ANDRES()  AE N - D R EY Z
ANDRESEN  AE N - D R IY - S AH N
ANDRESKI  AE N - D R EH S - K IY
ANDRESS  AA N - D R EH S
ANDRETTI  AE N - D R EH - T IY
ANDRETTI'S  AE N - D R EH - T IY Z
ANDREU  AE N - D R UW
ANDREW  AE N - D R UW
ANDREW'S  AE N - D R UW Z
ANDREWS  AE N - D R UW Z
ANDREWS'  AE N - D R UW Z
ANDREY  AE N - D R IY
ANDRIA  AE N - D R IY - AH
ANDRIANA  AA N - D R IY - AE - N AH
ANDRIANO  AA N - D R IY - AA - N OW
ANDRIC  AE N - D R IH K
ANDRICH  AE N - D R IH K
ANDRICK  AE N - D R IH K
ANDRIES  AH N - D R IY Z
ANDRIESSEN  AE N - D R IY - S AH N
ANDRINGA  AA N - D R IY NG - G AH
ANDRIOLA  AA N - D R IY - OW - L AH
ANDRIST  AE N - D R IH S T
ANDROGYNOUS  AE N - D R AO - JH AH - N AH S
ANDROMEDA  AE N - D R AA - M AH - D AH
ANDROPOV  AE N - D R AA - P AA V
ANDROS  AE N - D R AA S
ANDRUS  AE N - D R AH S
ANDRUSKEVICH  AE N - D R AH - S EH - V IH CH
ANDRZEJ  AA N - D R EY
ANDRZEJEWSKI  AH N - JH EY - EH F S - K IY
ANDS  AE N D Z
ANDUJAR  AA N - D UW - Y AA R
ANECDOTAL  AE - N AH K - D OW - T AH L
ANECDOTAL()  AE - N IH K - D OW - T AH L
ANECDOTALLY  AE - N AH K - D OW - T AH L - IY
ANECDOTALLY()  AE - N IH K - D OW - T AH L - IY
ANECDOTE  AE - N AH K - D OW T
ANECDOTES  AE - N AH K - D OW T S
ANECDOTES()  AE - N IH K - D OW T S
ANELLO  AH N - EH - L OW
ANEMIA  AH - N IY - M IY - AH
ANEMIAS  AH - N IY - M IY - AH Z
ANEMIC  AH - N IY - M IH K
ANEMOMETER  AE - N AH - M AA - M AH - T ER
ANEMONE()  AH N - EH - M AH - N IY
ANENCEPHALIC  AE - N EH N - S AH - F AE - L IH K
ANESTHESIA  AE - N IH S - TH IY - ZH AH
ANESTHESIOLOGIST  AE - N AH S - TH IY - Z IY - AA - L AH - JH AH S T
ANESTHESIOLOGISTS  AE - N AH S - TH IY - Z IY - AA - L AH - JH AH S T S
ANESTHESIOLOGISTS()  AE - N AH S - TH IY - Z IY - AA - L AH - JH AH S S
ANESTHESIOLOGY  AE - N AH S - TH IY - Z IY - AA - L AH - JH IY
ANESTHETIC  AE - N AH S - TH EH - T IH K
ANESTHETIST  AH N - EH S - TH AH - T AH S T
ANETTE  AH N - EH T
ANEURISM  AE - N Y UH - R IH - Z AH M
ANEW  AH - N UW
ANEW()  AH - N Y UW
ANFAL  EY - EH - N EH - F EY - EH L
ANFAL()  AE N - F AA L
ANFINSON  AE N - F IH N - S AH N
ANG  AE NG
ANGE  EY N JH
ANGEL  EY N - JH AH L
ANGELENO  AE N - JH AH - L EH - N OW
ANGELENO()  AE N - JH AH - L IY - N OW
ANGELENOS  AE N - JH AH - L EH - N OW Z
ANGELENOS()  AE N - JH AH - L IY - N OW Z
ANGELES  AE N - JH AH - L IH S
ANGELES'  AE N - JH AH - L IY Z
ANGELES'S  AE N - JH AH - L IH - S IH Z
ANGELETTI  AA NG - G EH - L EH - T IY
ANGELFISH  EY N - JH AH L - F IH SH
ANGELI  AA NG - G EH - L IY
ANGELIC  AE N - JH EH - L IH K
ANGELICA  AE N - JH EH - L IH - K AH
ANGELICA()  AE N - JH AH - L IY - K AH
ANGELICO  AA NG - G EH - L IY - K OW
ANGELIKA  AE N - JH EH - L IH - K AH
ANGELILLO  AA NG - G EH - L IH - L OW
ANGELINA  AE N - JH EH - L IY - N AH
ANGELINE()  AE N - JH AH - L IY N
ANGELINO  AE N - JH AH - L IY - N OW
ANGELINO'S  AE N - JH AH - L IY - N OW Z
ANGELINO'S()  AA NG - G EH - L IY - N OW Z
ANGELINO()  AA NG - G EH - L IY - N OW
ANGELINOS  AE N - JH AH - L IY - N OW Z
ANGELINOS()  AE NG - G AH - L IY - N OW Z
ANGELL  EY N - JH AH L
ANGELLE  EY NG - G EH L
ANGELO'S  AE N - JH AH - L OW Z
ANGELOFF  EY NG - G IH - L AO F
ANGELOFF()  AE N - JH IH - L AO F
ANGELONE  AA NG - G EH - L OW - N IY
ANGELONI  AA NG - G EH - L OW - N IY
ANGELOS  AE N - JH AH - L OW Z
ANGELOU  AE N - JH AH - L UW
ANGELOZ  AE N - JH AH - L OW Z
ANGELS  EY N - JH AH L Z
ANGELS'  EY N - JH AH L Z
ANGELUCCI  AA NG - G EH - L UW - CH IY
ANGER  AE NG - G ER
ANGERED  AE NG - G ER D
ANGERER  AE NG - G ER - ER
ANGERING  AE NG - G ER - IH NG
ANGERMAN  AE - NG ER - M AH N
ANGERMEIER  EY NG - G ER - M AY - ER
ANGERS  AE NG - G ER Z
ANGERT  EY NG - G ER T
ANGEVINE  EY NG - G IH - V AY N
ANGIE  AE N - JH IY
ANGIER  AE N - JH IY - ER
ANGINA  AE N - JH AY - N AH
ANGIO  AE N - JH IY - OW
ANGIOGRAM  AE N - JH IY - OW - G R AE M
ANGIOMEDIC  AE N - JH IY - OW - M EH - D IH K
ANGIOMEDICS  AE N - JH IY - OW - M EH - D IH K S
ANGIOPLASTY  AE N - JH IY - AH - P L AE - S T IY
ANGIOTENSIN  AE N - JH IY - OW - T EH N - S IH N
ANGLE  AE NG - G AH L
ANGLED  AE NG - G AH L D
ANGLEMYER  AE NG - G AH L - M AY - ER
ANGLEN  AE NG - G AH - L AH N
ANGLERS  AE NG - G L ER Z
ANGLETON  AE NG - G AH L - T AH N
ANGLIA  AE NG - G L IY - AH
ANGLICIZED  AE NG - L IH - S AY Z D
ANGLIM  AE NG - G L IH M
ANGLIN  AE NG - G L IH N
ANGLING  AE NG - G L IH NG
ANGLO  AE NG - G L OW
ANGLO-CATHOLICISM  AE NG - G L OW - K AH - TH AO - L AH - S IH - Z AH M
ANGLOS  AE NG - G L OW Z
ANGLOS()  AE NG - G L OW S
ANGOLA  AE NG - G OW - L AH
ANGOLAN  AE NG - G OW - L AH N
ANGOLANS  AE NG - G OW - L AH N Z
ANGORAS  AE NG - G AO - R AH Z
ANGOTTI  AA NG - G OW - T IY
ANGRIER  AE NG - G R IY - ER
ANGRIEST  AE NG - G R IY - AH S T
ANGRILY  AE NG - G R AH - L IY
ANGRY  AE NG - G R IY
ANGST  AA NG K S T
ANGSTADT  AE NG SH - T AE T
ANGSTADT()  AE NG - S T AE T
ANGSTROM  AE NG - S T R AH M
ANGSTROMS  AE NG - S T R AH M Z
ANGUILLA  AE NG - W IH - L AH
ANGUISH  AE NG - G W IH SH
ANGUISHED  AE NG - G W IH SH T
ANGUISHING  AE NG - G W IH - SH IH NG
ANGULATE  AE NG - G Y UW - L EY T
ANGULO  AA NG - G UW - L OW
ANGUS  AE NG - G AH S
ANGY  AE N - JH IY
ANHALT  AE N - HH AH L T
ANHEUSER  AE N - HH AY - Z ER
ANHEUSER'S  AE N - HH Y UW - Z ER Z
ANHYDRIDE  AE N - HH AY - D R IH D
ANIBAL  AE - N IH - B AH L
ANIKST  AE - N IH K S T
ANIMAL  AE - N AH - M AH L
ANIMAL'S  AE - N AH - M AH L Z
ANIMATED  AE - N AH - M EY - T AH D
ANIMATED()  AE - N AH - M EY - T IH D
ANIMATES  AE - N AH - M AH T S
ANIMATION  AE - N AH - M EY - SH AH N
ANIMATOR  AE - N AH - M EY - T ER
ANIMISM  AE - N AH - M IH - Z AH M
ANIMISTS  AE - N AH - M AH S T S
ANIMISTS()  AE - N AH - M AH S S
ANIMISTS(3)  AE - N AH - M AH S
ANIMOSITY  AE - N AH - M AA - S AH - T IY
ANIMUS  AE - N IH - M AH S
ANISE  AE - N AH S
ANISEED  AE - N AH - S IY D
ANISETTE  AE - N AH - S EH T
ANITA  AH N - IY - T AH
ANITEC  AE - N IH - T EH K
ANIXTER  AE - N IH K - S T ER
ANKARA  AE NG - K ER - AH
ANKARA'S  AE NG - K ER - AH Z
ANKENY  AH NG - K IY - N IY
ANKLE  AE NG - K AH L
ANKLEBONE  AE NG - K AH L - B OW N
ANKLETS  AE NG - K L AH T S
ANKNEY  AE NG K - N IY
ANKROM  AE NG - K R AH M
ANKRUM  AE NG - K R AH M
ANN  AE N
ANN'S  AE N Z
ANNA'S  AE - N AH Z
ANNABEL  AE - N AH - B EH L
ANNABELLA  AE - N AH - B EH - L AH
ANNABELLE  AE - N AH - B AH L
ANNABLE  AE - N AH - B AH L
ANNAL  AE - N AH L
ANNAMESE  AE - N AH - M IY Z
ANNAN  AE - N AH N
ANNANDALE  AE - N AH N - D EY L
ANNAPOLIS  AH N - AE - P AH - L IH S
ANNAPOLIS'S  AH N - AE - P AH - L IH - S IH Z
ANNAS  AE - N AH Z
ANNE'S  AE N Z
ANNEAL  AH - N IY L
ANNEALING  AH - N IY - L IH NG
ANNELID  AE - N AH - L IH D
ANNESE  AA - N EY - Z IY
ANNETT  AH N - EH T
ANNEX  AE - N EH K S
ANNEX()  AH - N EH K S
ANNEXED  AE - N EH K S T
ANNEXED()  AH - N EH K S T
ANNEXES  AE - N EH K - S IH Z
ANNEXING  AH - N EH K - S IH NG
ANNICK  AE - N IH K
ANNIE  AE - N IY
ANNIE'S  AE - N IY Z
ANNIHILATE  AH - N AY - AH - L EY T
ANNIHILATED  AH - N AY - AH - L EY - T IH D
ANNIHILATION  AH - N AY - AH - L EY - SH AH N
ANNISTON  AE - N IH - S T IH N
ANNISTON()  AE - N IH - S IH N
ANNIVERSARIES  AE - N AH - V ER - S ER - IY Z
ANNIVERSARY  AE - N AH - V ER - S ER - IY
ANNO  AE - N OW
ANNOTATE  AE - N AH - T EY T
ANNOTATED()  AE - N AH - T EY - T AH D
ANNOTATES  AE - N AH - T EY T S
ANNOTATES()  AE - N AH - T EY T S
ANNOTATING  AE - N AH - T EY - T IH NG
ANNOTATING()  AE - N AH - T EY - T IH NG
ANNOTATION  AE - N AH - T EY - SH AH N
ANNOUNCE  AH - N AW N S
ANNOUNCEMENT  AH - N AW N - S M AH N T
ANNOUNCEMENT()  AH - N AW N - S M EH N T
ANNOUNCEMENTS  AH - N AW N - S M AH N T S
ANNOUNCER  AH - N AW N - S ER
ANNOUNCERS  AH - N AW N - S ER Z
ANNOUNCES  AH - N AW N - S IH Z
ANNOUNCMENT  AH - N AW N - S M AH N T
ANNOY  AH - N OY
ANNOYANCES  AH - N OY - AH N - S IH Z
ANNOYED  AH - N OY D
ANNOYING  AH - N OY - IH NG
ANNOYS  AH - N OY Z
ANNUAL  AE - N Y UW - AH L
ANNUALIZE  AE - N Y UW - W AH - L AY Z
ANNUALIZED  AE - N Y UW - W AH - L AY Z D
ANNUALLY  AE - N Y UW - AH - L IY
ANNUALS  AE - N UW - AH L Z
ANNUITIES  AH - N UW - IH - T IY Z
ANNUITY  AH - N UW - AH - T IY
ANNUITY()  AH - N UW - IH - T IY
ANNUITY(3)  AH N - Y UW - IH - T IY
ANNUL  AE - N AH L
ANNULAR  AE - N Y AH - L ER
ANNULLED  AE - N AH L D
ANNULMENT  AE - N AH L - M AH N T
ANNUM  AE - N AH M
ANNUNCIATA  AA - N UW N - CH AA - T AH
ANNUNZIATA  AA - N UW N - Z IY - AA - T AH
ANNUNZIO  AH N - AH N - Z IY - OW
ANNUNZIO()  AH - N UW N - Z IY - OW
ANODE  AE - N OW D
ANOINT  AH - N OY N T
ANOINTED  AH - N OY N - T AH D
ANOINTED(3)  AH - N OY - N AH D
ANOINTED(4)  AH - N OY - N IH D
ANOMALIES  AH - N AA - M AH - L IY Z
ANOMALOUS  AH - N AA - M AH - L AH S
ANOMIE  AE - N AH - M IY
ANONA  AA - N OW - N AH
ANONYMITY  AE - N AH - N IH - M IH - T IY
ANONYMOUS  AH - N AA - N AH - M AH S
ANONYMOUSLY  AH - N AA - N AH - M AH S - L IY
ANORA  AA - N AO - R AH
ANORAK  AE - N ER - AE K
ANOREXIA  AE - N ER - EH K - S IY - AH
ANOREXIC  AE - N ER - EH K - S IH K
ANOREXICS  AE - N ER - EH K - S IH K S
ANORTHITE  AE - N AO R - TH AY T
ANRIG  AE N - R IH G
ANSA  AE N - S AH
ANSA'S  AE N - S AH Z
ANSAID  AE N - S EY D
ANSANG  AE N - S AE NG
ANSARI  AA N - S AA - R IY
ANSBACHER  AE N Z - B AA - K ER
ANSCHLUSS  AE N SH - L AH S
ANSCHLUSS()  AA N SH - L UW S
ANSCOM  AH N - S K AA M
ANSCOMB  AH N - S K AA M
ANSE  AE N S
ANSEL  AH N - S EH L
ANSELL  AE N - S EH L
ANSELM  AE N - S EH L M
ANSELMI  AA N - S EH L - M IY
ANSELMO  AA N - S EH L - M OW
ANSGAR  AE N S - G AA R
ANSHAN  AE N - SH AH N
ANSIN  AE N - S IH N
ANSLEY  AE N S - L IY
ANSON  AE N - S AH N
ANSPACH  AE N - S P AA K
ANSPAUGH  AH N - S P AO
ANSTEAD  AE N - S T EH D
ANSTEY  AE N - S T IY
ANSTICE  AA N - S T IH S
ANSTINE  AA N - S T IY - N IY
ANSTISS  AE N - S T IH S
ANSWER  AE N - S ER
ANSWER'S  AE N - S ER Z
ANSWERABLE  AE N - S ER - AH - B AH L
ANSWERED  AE N - S ER D
ANSWERING  AE N - S ER - IH NG
ANSWERS  AE N - S ER Z
ANT  AE N T
ANTACIDS  AE N - T AE - S AH D Z
ANTAGONISM  AE N - T AE - G AH - N IH - Z AH M
ANTAGONISMS  AE N - T AE - G AH - N IH - Z AH M Z
ANTAGONIST  AE N - T AE - G AH - N AH S T
ANTAGONISTS  AE N - T AE - G AH - N AH S T S
ANTAGONISTS(3)  AE N - T AE - G AH - N AH S
ANTAGONIZE  AE N - T AE - G AH - N AY Z
ANTAGONIZED  AE N - T AE - G AH - N AY Z D
ANTAGONIZING  AE N - T AE - G AH - N AY - Z IH NG
ANTARCTIC  AE N - T AA R K - T IH K
ANTARCTIC()  AE - N AA R - T IH K
ANTARCTICA'S  AE N - T AA R K - T IH - K AH Z
ANTARCTICA()  AE - N AA R - T IH - K AH
ANTARES  AE N - T EH - R IY Z
ANTCZAK  AE N T - CH AE K
ANTE  AE N - T IY
ANTEATER  AE N T - IY - T ER
ANTEATERS  AE N T - IY - T ER Z
ANTEBELLUM  AE N - T IH - B EH - L AH M
ANTECEDENT  AE N - T EH - S AH - D AH N T
ANTECEDENT()  AE N - T IH - S IY - D AH N T
ANTECEDENTS  AE N - T IH - S IY - D AH N T S
ANTECEDENTS()  AE N - T EH - S AH - D AH N T S
ANTED  AE N - T IH D
ANTED()  AE N - T IY D
ANTELL  AE N - T EH L
ANTELOPE  AE N - T AH - L OW P
ANTEMERIDIAN  AE N - T AH - M EH - R IH - D IY - AH N
ANTEMORTEM  AE N - T AH - M AO R - T AH M
ANTENNA  AE N - T EH - N AH
ANTENNAE  AE N - T EH - N IY
ANTENNAS  AE N - T EH - N AH Z
ANTENNE  AE N - T EH N
ANTENUCCI  AE N - T IH - N UW - CH IY
ANTERIOR  AE N - T IH - R IY - ER
ANTERIORMOST  AE N - T IH - R IY - ER - M OW S T
ANTES  AE N - T IY Z
ANTHEA  AE N - TH IY - AH
ANTHEM  AE N - TH AH M
ANTHEMS  AE N - TH AH M Z
ANTHES  AE N - DH AH Z
ANTHILLS  AE N T - HH IH L Z
ANTHIS  AE N - TH IH S
ANTHOLOGIES  AE N - TH AA - L AH - JH IY Z
ANTHOLOGY  AE N - TH AA - L AH - JH IY
ANTHONY'S  AE N - TH AH - N IY Z
ANTHRACITE  AE N - TH R AH - S AY T
ANTHRAX  AE N - TH R AE K S
ANTHROPOCENTRIC  AE N - TH R AH - P AH - S EH N - T R IH K
ANTHROPOLOGIST  AE N - TH R AH - P AA - L AH - JH AH S T
ANTHROPOLOGISTS  AE N - TH R AH - P AA - L AH - JH AH S T S
ANTHROPOLOGISTS()  AE N - TH R AH - P AA - L AH - JH IH S T S
ANTHROPOLOGY  AE N - TH R AH - P AA - L AH - JH IY
ANTHROPOMORPHIC  AE N - TH R AH - P AH - M AO R - F IH K
ANTI  AE N - T IY
ANTI()  AE N - T AY
ANTI-CATHOLICISM  AE N - T IY - K AH - TH AO - L AH - S IH - Z AH M
ANTI-CATHOLICISM()  AE N - T AY - K AH - TH AO - L AH - S IH - Z AH M
ANTI-FEDERALIST  AE N - T IY - F EH - D R AH - L IH S T
ANTI-FEDERALISTS  AE N - T IY - F EH - D R AH - L AH S T S
ANTI-FEDERALISTS(3)  AE N - T IY - F EH - D R AH - L AH S
ANTIABORTION  AE N - T IY - AH - B AO R - SH AH N
ANTIABORTION()  AE N - T AY - AH - B AO R - SH AH N
ANTIBACTERIAL  AE N - T IY - B AE K - T IH - R IY - AH L
ANTIBALLISTIC  AE N - T IY - B AH - L IH - S T IH K
ANTIBIOTIC  AE N - T IY - B IY - AA - T IH K
ANTIBIOTIC()  AE N - T AY - B AY - AA - T IH K
ANTIBIOTICOS  AE N - T IY - B IY - AA - T IH - K OW S
ANTIBIOTICS  AE N - T IY - B IY - AA - T IH K S
ANTIBIOTICS()  AE N - T AY - B AY - AA - T IH K S
ANTIBODIES  AE N - T IH - B AA - D IY Z
ANTIBODIES()  AE N - T IY - B AA - D IY Z
ANTIBODY  AE N - T IH - B AA - D IY
ANTIBODY()  AE N - T IY - B AA - D IY
ANTIC  AE N - T IH K
ANTICIPATE  AE N - T IH - S AH - P EY T
ANTICIPATED  AE N - T IH - S AH - P EY - T AH D
ANTICIPATED()  AE N - T IH - S AH - P EY - T IH D
ANTICIPATES  AE N - T IH - S AH - P EY T S
ANTICIPATING  AE N - T IH - S AH - P EY - T IH NG
ANTICIPATION  AE N - T IH - S AH - P EY - SH AH N
ANTICIPATION()  AE N - T IH - S AH - P EY - SH AH N
ANTICIPATIONS  AE N - T IH - S AH - P EY - SH AH N Z
ANTICIPATORY  AE N - T IH - S AH - P AH - T AO - R IY
ANTICLIMACTIC  AE N - T IY - K L AY - M AE K - T IH K
ANTICLINE  AE N - T IH - K L AY N
ANTICO  AA N - T IY - K OW
ANTICOMPETITIVE  AE N - T IH - K AH M - P EH - T IH - T IH V
ANTICORRUPTION  AE N - T AY - K ER - AH P - SH AH N
ANTICORRUPTION()  AE N - T IY - K ER - AH P - SH AH N
ANTICRIME  AE N - T IY - K R AY M
ANTICRIME()  AE N - T AY - K R AY M
ANTICS  AE N - T IH K S
ANTIDEPRESSANT  AE N - T IY - D IH - P R EH - S AH N T
ANTIDEPRESSANTS()  AE N - T IY - D IH - P R EH - S AH N T S
ANTIDISCRIMINATION  AE N - T IY - D IH - S K R IH - M AH - N EY - SH AH N
ANTIDISCRIMINATION()  AE N - T AY - D IH - S K R IH - M AH - N EY - SH AH N
ANTIDOTE  AE N - T IH - D OW T
